years_of_experience,functional_competency_score,top1_skills_score,top2_skills_score,top3_skills_score,behavior_competency_score,top1_behavior_skill_score,top2_behavior_skill_score,top3_behavior_skill_score,call_for_interview
0.3333333333333333,0.7494977777777777,0.7777777777777778,0.7,0.8,0.7692307692307692,0.9316893589492192,0.6620421671026925,0.7524629947278958,1
0.1333333333333333,0.4906377777777777,0.7777777777777778,0.3,0.4,0.1538461538461538,0.3520927425880082,0.1322306051248566,0.3169054776707523,0
0.0,0.4602555555555556,0.4444444444444444,0.3,0.3,0.0512820512820512,0.0523470230555989,0.0897650035139527,0.2548591532018843,0
0.0,0.5073466666666666,0.5555555555555556,0.4,0.5,0.3846153846153846,0.3099132209261845,0.2897576359737625,0.4407843220089391,0
0.4,0.6620199999999999,0.6666666666666666,0.7,0.5,0.4615384615384614,0.4979287376972561,0.3975442195680384,0.3927595251377358,1
0.8,0.5851577777777778,1.0,0.8,0.8,0.8717948717948718,0.7592000031095578,0.8211514248169322,0.7219940761640676,1
0.3333333333333333,0.6919466666666666,0.8888888888888888,0.6,0.5,0.4615384615384614,0.4955875532008962,0.5847196152401011,0.4405086023766746,1
0.0,0.4778866666666667,0.3333333333333333,0.5,0.5,0.5128205128205128,0.3650872233173474,0.4816920695768152,0.3307799312509018,0
0.2666666666666666,0.6627355555555555,0.8888888888888888,0.7,0.6,0.5384615384615384,0.4820595507469346,0.6011240413008371,0.6478866708970547,1
0.0666666666666666,0.4928755555555557,0.8888888888888888,0.3,0.4,0.205128205128205,0.39000316284137,0.3454071363821854,0.3339499533257469,0
0.0666666666666666,0.5465355555555556,0.2222222222222222,0.1,0.2,0.1282051282051282,0.2743975699309086,0.3415338072876173,0.1212782325017039,0
0.0,0.5014777777777778,0.3333333333333333,0.4,0.6,0.2307692307692307,0.4092709221450642,0.3812131192148564,0.2518247781065803,0
0.0,0.5912088888888889,0.6666666666666666,0.5,0.6,0.2307692307692307,0.3823444847536628,0.2040972046485643,0.1956680557432317,0
